章	章题	段	本站上下文(〔〕内为本站读法)	本站读法	劝学网本	古诗文本	差异类型	同书内证(全书只留汉字计次;讹写含本处)	标出来源	判定	依据	建议 typoFix
11	十一、方局	25	多火炽，丁火〔不中以泄之〕，所以运至庚	不中以泄之	同本站	同本站	见证本亦同	正写 「不足以」6 「不足」63 「足以」67;讹写「不中以」1	注疏	C		
12	十二、八格	2	如壬辰日为“〔王〕骑龙背”，壬	王	壬	壬	形近讹	正写 「为壬骑」0 「为壬」0 「壬骑」0;讹写「为王骑」2		A	两见证本作「壬骑龙背」,格名	为“王骑龙 → 为“壬骑龙
12	十二、八格	6	，将来运至木〔水〕之地，虽然屈	水	同本站	火	形近讹	正写 「木火之」10 「木火」131 「火之」67;讹写「木水之」1		C	仅古诗文本作「木火」,劝学网本同本站,无内证可决	
12	十二、八格	10	为病，以壬水〔沩〕药，中和纯粹	沩	为	为	形近讹	正写 「水为药」0 「水为」36 「为药」1;讹写「水沩药」1		A	两见证本作「为」	水沩药 → 水为药
12	十二、八格	15	；至于建禄月〔动〕羊无能为刃，	动	劫	劫	形近讹	正写 「月劫羊」0 「月劫」3 「劫羊」0;讹写「月动羊」1		B	两见证本作「劫」(建禄月劫)	月动羊 → 月劫羊
12	十二、八格	16	财，乙卯日支〔一〕三卯，暗合戌	一			衍文	正写 「支三」6 「支」549 「三」176;讹写「支一三」1		B	两见证本无「一」;上句「壬子日支全三子」	支一三 → 支三
12	十二、八格	16	又云杂气财官〔吉〕冲，尤为穿凿	吉	喜	喜	形近讹	正写 「官喜冲」0 「官喜」10 「喜冲」3;讹写「官吉冲」1		A	两见证本作「喜冲」	官吉冲 → 官喜冲
12	十二、八格	16	自如；格破用〔损，谓这有〕病，忧多乐少	损，谓这有	同本站	同本站	见证本亦同	正写 「谓之有」2 「谓之」34 「之有」27;讹写「谓这有」1	扫描	B	「这」为「之」之讹(文言无「这」,输入法讹)	损，谓这有 → 损，谓之有
12	十二、八格	18	丙午日支全三〔年〕，四柱滴水全	年	午	午	形近讹	正写 「三午四」0 「三午」2 「午四」3;讹写「三年四」1		A	两见证本作「三午」;丙午日支全三午	全三年， → 全三午，
12	十二、八格	18	交己巳戊辰，〔汇〕火生金，遗业	汇	晦	晦	形近讹	正写 「辰晦火」2 「辰晦」2 「晦火」38;讹写「辰汇火」1		A	两见证本作「晦火生金」	辰，汇火 → 辰，晦火
12	十二、八格	20	惜癸水克丁，〔仍〕伤秀气，时干	仍	乃	乃	形近讹	正写 「丁乃伤」0 「丁乃」0 「乃伤」0;讹写「丁仍伤」1		B	两见证本作「乃」	丁，仍伤 → 丁，乃伤
12	十二、八格	22	水旺之地，荫〔庇〕有余；一交庚	庇	疪	疪	本站已改			-		
13	十三、体用	1	皆为我用。提〔纳〕为体，喜神为	纳	纲	纲	形近讹	正写 「提纲为」4 「提纲」43 「纲为」4;讹写「提纳为」1	白话	A	两见证本作「提纲」	提纳为 → 提纲为
13	十三、体用	1	行之地，且又〔行助体之运财不妙〕。有体用各立	行助体之运财不妙	同本站	同本站	见证本亦同	正写 「运才不」1 「运才」6 「才不」20;讹写「运财不」0	白话	C	白话以为「财」当作「才」;才/财两通,不改	
13	十三、体用	2	，即用神无疑〔颖〕。旺则抑之，	颖	矣	矣	形近讹	正写 「疑矣旺」0 「疑矣」0 「矣旺」3;讹写「疑颖旺」1	白话	B	两见证本作「矣」	无疑颖。 → 无疑矣。
13	十三、体用	4	，比劫多 ，〔耐〕我财星，以食	耐	劫	劫	形近讹	正写 「多劫我」0 「多劫」0 「劫我」1;讹写「多耐我」1		B	两见证本作「劫」	 ，耐我财 →  ，劫我财
13	十三、体用	4	旺，官星轻，〔銕〕绶重，以财星	銕	印	印	形近讹	正写 「轻印绶」1 「轻印」5 「印绶」148;讹写「轻銕绶」1	白话	A	两见证本作「印绶」	轻，銕绶 → 轻，印绶
13	十三、体用	11	：丙寅帮身，〔刑丧破髦〕。所谓弱极者	刑丧破髦	同本站	同本站	见证本亦同	正写 「破耗所」0 「破耗」45 「耗所」0;讹写「破髦所」1	白话	B	髦/耗;本书 10 章「破髦」两见证本作「破耗」	刑丧破髦 → 刑丧破耗
14	十四、精神	1	注，精气神气〔皆无气也〕，五行大率以	皆无气也	同本站	同本站	见证本亦同	正写 「皆元气」0 「皆元」1 「元气」1;讹写「皆无气」1	注疏	B	无/元形近;「精气神气皆元气也」文义唯一	皆无气也 → 皆元气也
14	十四、精神	2	，虽一定理，〔角〕亦有一定中之	角	然	然	形近讹	正写 「理然亦」1 「理然」2 「然亦」9;讹写「理角亦」1		A	两见证本作「然」	理，角亦 → 理，然亦
14	十四、精神	9	逆行，大抵是〔右〕命。	右	枯	枯	形近讹	正写 「是枯命」0 「是枯」0 「枯命」0;讹写「是右命」1	注疏	C	见证本作「枯命」,注疏以为「女命」,均无确证	
15	十五、月令	2	地理玄机云》〔云〕：“宇宙有大	云			衍文	正写 「云宇」1 「云」61 「宇」2;讹写「云云宇」1		A	两见证本作「《地理玄机》云」;书名号内衍「云」	《地理玄机云》云 → 《地理玄机》云
15	十五、月令	2	土司令，木透〔于〕，支藏水，谓	于	干	干	形近讹	正写 「透干支」0 「透干」9 「干支」33;讹写「透于支」1	注疏	A	两见证本作「木透干」	木透于， → 木透干，
15	十五、月令	4	化杀生身。由〔甲傍〕而悬青绶，从	甲傍	同本站	同本站	见证本亦同	正写 「甲榜而」0 「甲榜」6 「榜而」1;讹写「甲傍而」1	注疏	B	傍/榜形近;甲榜即进士	由甲傍 → 由甲榜
16	十六、生时	1	水用事；后四〔亥〕，七分癸水用	亥	刻	刻	形近讹	正写 「四刻七」0 「四刻」0 「刻七」0;讹写「四亥七」1		A	两见证本作「后四刻」;与上「前三刻」对	后四亥， → 后四刻，
16	十六、生时	1	用事何如，甲〔未〕用事何如，局	未	木	木	形近讹	正写 「甲木用」2 「甲木」123 「木用」3;讹写「甲未用」1	白话	A	两见证本作「甲木用事」	甲未用 → 甲木用
16	十六、生时	1	。至同年同月〔〕日而百人各一	∅	同	同	脱文	正写 「月同日」0 「月同」0 「同日」0;讹写「月日」9		B	两见证本作「同年同月同日」	同月日 → 同月同日
16	十六、生时	1	者察此，可以〔知其与替〕矣。	知其与替	同本站	同本站	见证本亦同	正写 「其兴替」0 「其兴」1 「兴替」1;讹写「其与替」2	白话	B	与/兴(與/興)形近;「兴替」成词	以知其与替 → 以知其兴替
16	十六、生时	2	减其吉；穴凶〔赂〕吉，必减其凶	赂	向	向	形近讹	正写 「凶向吉」0 「凶向」0 「向吉」0;讹写「凶赂吉」1	白话	B	两见证本作「穴凶向吉」	凶赂吉 → 凶向吉
16	十六、生时	2	如丙日亥时，〔廖〕中壬水，乃丙	廖	亥	亥	形近讹	正写 「时亥中」0 「时亥」3 「亥中」11;讹写「时廖中」1	白话	B	两见证本作「亥中壬水」;丙日亥时	时，廖中 → 时，亥中
16	十六、生时	2	木用事，谓穴〔了〕向寺；辛日未	了	凶	凶	形近讹	正写 「穴凶向吉向」0 「穴凶向吉」0 「凶向吉向」0;讹写「穴了向寺向」0	白话	A	两见证本作「谓穴凶向吉」;同段「穴吉向凶」对举	谓穴了向寺 → 谓穴凶向吉
16	十六、生时	2	；辛日未时，〔未中已土〕，乃辛金之印	未中已土	同本站	同本站	见证本亦同	正写 「中己土」2 「中己」2 「己土」61;讹写「中已土」1	白话+扫描	B	未藏己土	未中已土 → 未中己土
16	十六、生时	2	则吉凶自验。〔菘〕人元用事，到	菘	然	然	形近讹	正写 「验然人」0 「验然」3 「然人」0;讹写「验菘人」1	白话	B	两见证本作「然」	验。菘人 → 验。然人
16	十六、生时	2	于山川之异世〔毽这〕殊，因为发福	毽这	德之	德之	形近讹	正写 「世德之殊因之发福有厚薄」0 「世德之殊因之发福有厚」0 「德之殊因之发福有厚薄」0;讹写「世毽这殊因为发福有百姓薄」1	扫描	B	两见证本作「世德之殊，因之发福有厚薄」	异世毽这殊，因为发福有百姓薄 → 异世德之殊，因之发福有厚薄
16	十六、生时	2	移祸福，此又〔百郚〕之所得而拘者	百郚	非命	非命	形近讹	正写 「又非命之」0 「又非命」0 「非命之」0;讹写「又百郚之」1		B	两见证本作「非命之所得而拘」	又百郚 → 又非命
17	十七、衰旺	1	不可损也；衰〔右〕有旺者存，不	右	中	中	形近讹	正写 「衰中有」1 「衰中」1 「中有」38;讹写「衰右有」1	白话+注疏	A	两见证本作「衰中有旺」;与上「旺中有衰」对	衰右有 → 衰中有
17	十七、衰旺	2	此时休囚之戊〔巳〕，亦未尝绝于	巳	己	己	形近讹	正写 「戊己亦」0 「戊己」15 「己亦」0;讹写「戊巳亦」1		A	两见证本作「戊己」	之戊巳， → 之戊己，
17	十七、衰旺	2	冬水司令，壬〔天〕虽旺，百此时	天	水	水	形近讹	正写 「壬水虽」1 「壬水」159 「水虽」4;讹写「壬天虽」1		A	两见证本作「壬水」;冬水司令	壬天虽 → 壬水虽
17	十七、衰旺	2	，壬天虽旺，〔百〕此时休囚之丙	百	而	而	形近讹	正写 「旺而此」1 「旺而」40 「而此」1;讹写「旺百此」1		A	两见证本作「而」;同句上文「而此时休囚之戊己」	旺，百此 → 旺，而此
17	十七、衰旺	2	休囚之丙丁，〔变〕未尝绝于天地	变			衍文	正写 「丁未」14 「丁」340 「未」332;讹写「丁变未」1		A	两见证本无;上句「亦未尝绝于天地也」	丁，变未 → 丁，未
17	十七、衰旺	2	不敢争先，而〔春〕实春土何尝不	春	其	其	形近讹	正写 「而其实」1 「而其」3 「其实」1;讹写「而春实」1		A	两见证本作「而其实」;同段「而其实专令之中」	而春实 → 而其实
17	十七、衰旺	2	八字虽以月令〔迷〕重，而旺相休	迷	为	为	形近讹	正写 「令为重」0 「令为」1 「为重」10;讹写「令迷重」1		B	两见证本作「以月令为重」	令迷重 → 令为重
17	十七、衰旺	2	；墓库余气，〔奶〕之轻者也。天	奶	根	根	形近讹	正写 「气根之」0 「气根」0 「根之」12;讹写「气奶之」1		A	两见证本作「根之轻者」;上句「根之重者也」	气，奶之 → 气，根之
17	十七、衰旺	2	，干多不如根〔挭〕，理固然也。	挭	重	重	形近讹	正写 「根重理」0 「根重」0 「重理」1;讹写「根挭理」1		A	两见证本作「根重」	如根挭， → 如根重，
17	十七、衰旺	2	重克轻，便谓〔这〕旺，更有任癸	这	之	之	形近讹	正写 「谓之旺」1 「谓之」34 「之旺」14;讹写「谓这旺」1	扫描	A	两见证本作「便谓之旺」;上句「便谓之弱」	谓这旺 → 谓之旺
17	十七、衰旺	2	谓这旺，更有〔任〕癸逢辰，丙丁	任	壬	壬	形近讹	正写 「有壬癸」3 「有壬」5 「壬癸」43;讹写「有任癸」1		A	两见证本作「壬癸」	有任癸 → 有壬癸
17	十七、衰旺	2	，不以为通根〔峰〕库，甚至求刑	峰	逢	逢	形近讹	正写 「根逢库」0 「根逢」2 「逢库」1;讹写「根峰库」2		A	两见证本作「通根逢库」	为通根峰库， → 为通根逢库，
17	十七、衰旺	8	刑丧早见，荫〔庇〕难丰；辛巳庚	庇	疪	疪	本站已改			-		
17	十七、衰旺	10	，获丰厚之荫〔庇〕，美景良多；	庇	疪	疪	本站已改			-		
17	十七、衰旺	16	似木也。初运〔己〕未甲午，火木	己	同本站	乙	形近讹	正写 「运乙未」2 「运乙」9 「乙未」13;讹写「运己未」1	注疏	A	古诗文本作「乙未」;本例大运 丙申 乙未 甲午	运己未 → 运乙未
17	十七、衰旺	18	此财生杀，杀〔功〕身，丙临申，	功	攻	攻	形近讹	正写 「杀攻身」0 「杀攻」0 「攻身」0;讹写「杀功身」1	注疏	B	两见证本作「杀攻身」	杀功身 → 杀攻身
17	十七、衰旺	28	尚有制土卫水〔之功，仁路〕清高，枫叶未	之功，仁路	同本站	同本站	见证本亦同	正写 「功仕路」0 「功仕」0 「仕路」28;讹写「功仁路」1	扫描	B	仕路 28 见、仁路 6 见;同「仁至→仕至」	之功，仁路 → 之功，仕路
17	十七、衰旺	30	子运获厚利，〔纳房出仁〕已丑庚运，名	纳房出仁	同本站	同本站	见证本亦同	正写 「出仕已」0 「出仕」27 「仕已」0;讹写「出仁已」1	注疏+扫描	B	出仕 27 见;同「仁至→仕至」	纳房出仁 → 纳房出仕
17	十七、衰旺	32	辛金生于〔促夏〕，地支皆逢财	促夏	同本站	同本站	见证本亦同	正写 「于仲夏」4 「于仲」42 「仲夏」5;讹写「于促夏」1	注疏	B	促/仲形近;「仲夏」同书 5 见	于促夏 → 于仲夏
17	十七、衰旺	34	源通裕；癸亥〔出仁〕，名利两全壬	出仁	同本站	同本站	见证本亦同	正写 「出仕名」0 「出仕」27 「仕名」1;讹写「出仁名」1	注疏+扫描	B	出仕 27 见	亥出仁 → 亥出仕
17	十七、衰旺	38	金，所谓月印〔午〕江银作浪 ，	午	舞	舞	形近讹	正写 「印舞江」0 「印舞」0 「舞江」0;讹写「印午江」1		C	见证本作「舞江」,联语无从定	
17	十七、衰旺	38	，家业破尽；〔戌午运〕，贫乏不堪，	戌午运	同本站	同本站	见证本亦同	正写 「尽戊午」0 「尽戊」0 「戊午」22;讹写「尽戌午」1	注疏	B	「戌」非天干;大运戊午	戌午运 → 戊午运
17	十七、衰旺	43	和之气。原注〔去〕：“旺中有衰	去	云	云	形近讹	正写 「注云旺」0 「注云」1 「云旺」0;讹写「注去旺」1	注疏	A	两见证本作「原注云」	原注去： → 原注云：
18	十八、中和	1	原注：中〔崦〕且和，子平之	崦	而	而	形近讹	正写 「中而且」0 「中而」4 「而且」42;讹写「中崦且」1	白话+注疏	A	两见证本与辑要(独立本)皆作「中而且和」	中崦且 → 中而且
18	十八、中和	1	如去病，财禄〔丙〕相宜，则又中	丙	两	两	形近讹	正写 「禄两相」0 「禄两」1 「两相」0;讹写「禄丙相」1	注疏	A	两见证本与辑要(独立本)皆作「财禄两相宜」	禄丙相 → 禄两相
18	十八、中和	1	取富贵不必于〔忠〕也；用神强，	忠	中	中	形近讹	正写 「于中也」0 「于中」0 「中也」1;讹写「于忠也」1	白话	A	两见证本作「不必于中」;下「不必于和」对举	于忠也 → 于中也
18	十八、中和	1	富贵而不必于〔忠其〕和也。何也？	忠其	中且	中且	形近讹	正写 「于中且和」0 「于中且」0 「中且和」0;讹写「于忠其和」1	白话	A	两见证本作「中且和」	于忠其 → 于中且
18	十八、中和	1	人材，惟此时〔〕最多，皆尚于	∅	为	为	脱文	正写 「时为最」0 「时为」10 「为最」7;讹写「时最」1		B	两见证本作「惟此时为最多」	此时最 → 此时为最
18	十八、中和	2	，补其不足，〔却〕其有余，乃得	却	去	去	形近讹	正写 「足去其」0 「足去」1 「去其」26;讹写「足却其」1		A	两见证本作「去其有余」;与「补其不足」对	足，却其 → 足，去其
18	十八、中和	2	凶易验，无病〔地〕药，祸福难推	地	无	无	形近讹	正写 「病无药」3 「病无」4 「无药」3;讹写「病地药」1		A	两见证本作「无病无药」	病地药 → 病无药
18	十八、中和	2	病，由四肢健〔量〕，营卫调和，	量	旺	旺	形近讹	正写 「健旺营」0 「健旺」1 「旺营」0;讹写「健量营」1		B	两见证本作「四肢健旺」	肢健量， → 肢健旺，
18	十八、中和	2	举动艰难，如〔遇〕良药则可岂不	遇	无	无	形近讹	正写 「如无良药医之良」0 「如无良药医之」0 「无良药医之良」0;讹写「如遇良药则可良」0		B	两见证本作「如无良药医之，岂不为终身之患乎」;本站反义	如遇良药则可 → 如无良药医之
18	十八、中和	4	，去火存金，〔伅〕星得用，木火	伅	印	印	形近讹	正写 「金印星」1 「金印」1 「印星」36;讹写「金伅星」1	注疏	A	两见证本作「印星」	金，伅星 → 金，印星
18	十八、中和	4	华卓越，光浮〔览〕水珠玑。庚运	览	鉴	鉴	形近讹	正写 「浮鉴水」0 「浮鉴」0 「鉴水」0;讹写「浮览水」1		B	两见证本作「光浮鉴水」	浮览水 → 浮鉴水
18	十八、中和	4	，朗映紫薇，〔徽〕嫌亥卯拱木，	徽	微	微	形近讹	正写 「薇微嫌」0 「薇微」0 「微嫌」3;讹写「薇徽嫌」1		B	两见证本作「微嫌」	薇，徽嫌 → 薇，微嫌
18	十八、中和	6	得逢际遇，由〔佐二〕至观察，奢华	佐二	同本站	同本站	见证本亦同		注疏	C	「佐二」为「佐贰」旧时别写,不改	
